COD_IBGE,MUNICÍPIO,EDR,RA,POLO REGIONAL,BACIA HIDROGRÁFICA 
3500105,Adamantina,Dracena,Presidente Prudente,Alta Paulista,Peixe
3500204,Adolfo,São José do Rio Preto ,São José do Rio Preto,Centro Norte,Tietê/Batalha
3500303,Aguaí,São João da Boa Vista,Campinas,Nordeste Paulista,Mogi Guaçú
3500402,Águas da Prata,São João da Boa Vista,Campinas,Nordeste Paulista,Mogi Guaçú
3500501,Águas de Lindóia,Bragança Paulista,Campinas,Leste Paulista,Mogi Guaçú
3500550,Águas de Santa Bárbara,Avaré,Sorocaba,Médio Paranapanema,Médio Paranapanema
3500600,Águas de São Pedro,Piracicaba,Campinas,Centro Sul,Piracicaba/Capivari
3500709,Agudos,Bauru,Bauru,Centro Oeste,Tietê/Jacaré
3500758,Alambari,Itapetininga,Sorocaba,Sudoeste Paulista,Tietê/Sorocaba
3500808,Alfredo Marcondes,Presidente Prudente ,Presidente Prudente,Alta Sorocabana,Peixe
3500907,Altair,Barretos,Barretos,Alta Mogiana,Baixo Pardo/Grande
3501004,Altinópolis,Franca ,Ribeirão Preto,Nordeste Paulista,Pardo
3501103,Alto Alegre,Araçatuba,Araçatuba,Extemo Oeste,Baixo Tietê
3501152,Alumínio,Sorocaba,Sorocaba,Sedes,Tietê/Sorocaba
3501202,Álvares Florence,Votuporanga ,São José do Rio Preto,Noroeste Paulista,Turvo/Grande
3501301,Álvares Machado,Presidente Prudente ,Presidente Prudente,Alta Sorocabana,Peixe
3501400,Álvaro de Carvalho,Marília ,Marília,Centro Oeste,Aguapeí
3501509,Alvinlândia,Marília ,Marília,Centro Oeste,Médio Paranapanema
3501608,Americana,Piracicaba,Campinas,Sedes,Piracicaba/Capivari
3501707,Américo Brasiliense,Araraquara,Central,Centro Leste,Mogi Guaçú
3501806,Américo de Campos,Votuporanga ,São José do Rio Preto,Noroeste Paulista,Turvo/Grande
3501905,Amparo,Bragança Paulista,Campinas,Leste Paulista,Piracicaba/Capivari
3502002,Analândia,Limeira,Campinas,Centro Sul,Piracicaba/Capivari
3502101,Andradina,Andradina,Araçatuba,Extemo Oeste,Baixo Tietê
3502200,Angatuba,Itapetininga,Itapeva,Sudoeste Paulista,Alto Paranapanema
3502309,Anhembi,Botucatu,Sorocaba,Centro Sul,Tietê/Sorocaba
3502408,Anhumas,Presidente Prudente ,Presidente Prudente,Alta Sorocabana,Pontal do Paranapanema
3502507,Aparecida,Guaratinguetá,São José dos Campos ,Vale do Paraiba,Paraíba do Sul
3502606,Aparecida D'Oeste,Jales ,São José do Rio Preto,Noroeste Paulista,São José dos Dourados
3502705,Apiaí,Itapeva ,Itapeva,Vale do Ribeira,Ribeira de Iguape/Litoral Sul
3502754,Araçariguama,Sorocaba,Sorocaba,Sedes,Tietê/Sorocaba
3502804,Araçatuba,Araçatuba,Araçatuba,Extemo Oeste,Baixo Tietê
3502903,Araçoiaba da Serra,Sorocaba,Sorocaba,Sedes,Tietê/Sorocaba
3503000,Aramina,Orlândia,Franca,Alta Mogiana,Sapucaí/Grande
3503109,Arandu,Avaré,Itapeva,Médio Paranapanema,Alto Paranapanema
3503158,Arapeí,Guaratinguetá,São José dos Campos ,Vale do Paraiba,Paraíba do Sul
3503208,Araraquara,Araraquara,Central,Centro Leste,Tietê/Jacaré
3503307,Araras,Limeira,Campinas,Centro Sul,Mogi Guaçú
3503356,Arco-Íris,Tupã,Marília,Alta Paulista,Peixe
3503406,Arealva,Bauru,Bauru,Centro Oeste,Tietê/Jacaré
3503505,Areias,Guaratinguetá,São José dos Campos ,Vale do Paraiba,Paraíba do Sul
3503604,Areiópolis,Botucatu,Sorocaba,Centro Oeste,Tietê/Jacaré
3503703,Ariranha,Catanduva,São José do Rio Preto,Centro Norte,Turvo/Grande
3503802,Artur Nogueira,Mogi Mirim,Campinas,Sedes,Piracicaba/Capivari
3503901,Arujá,Mogi das Cruzes,São Paulo,Sedes,Alto Tietê
3503950,Aspásia,Jales ,São José do Rio Preto,Noroeste Paulista,Turvo/Grande
3504008,Assis,Assis,Marília,Médio Paranapanema,Médio Paranapanema
3504107,Atibaia,Bragança Paulista,Campinas,Leste Paulista,Piracicaba/Capivari
3504206,Auriflama,General Salgado,Araçatuba,Noroeste Paulista,São José dos Dourados
3504305,Avaí,Bauru,Bauru,Centro Oeste,Tietê/Batalha
3504404,Avanhandava,Araçatuba,Araçatuba,Extemo Oeste,Baixo Tietê
3504503,Avaré,Avaré,Sorocaba,Médio Paranapanema,Médio Paranapanema
3504602,Bady Bassitt,São José do Rio Preto ,São José do Rio Preto,Centro Norte,Tietê/Batalha
3504701,Balbinos,Lins,Bauru,Centro Oeste,Tietê/Batalha
3504800,Bálsamo,São José do Rio Preto ,São José do Rio Preto,Centro Norte,Turvo/Grande
3504909,Bananal,Guaratinguetá,São José dos Campos ,Vale do Paraiba,Paraíba do Sul
3505005,Barão de Antonina,Avaré,Itapeva,Sudoeste Paulista,Alto Paranapanema
3505104,Barbosa,Araçatuba,Araçatuba,Extemo Oeste,Baixo Tietê
3505203,Bariri,Jaú,Bauru,Centro Oeste,Tietê/Jacaré
3505302,Barra Bonita,Jaú,Bauru,Centro Oeste,Tietê/Jacaré
3505351,Barra do Chapéu,Itapeva ,Itapeva,Vale do Ribeira,Ribeira de Iguape/Litoral Sul
3505401,Barra do Turvo,Registro,Registro,Vale do Ribeira,Ribeira de Iguape/Litoral Sul
3505500,Barretos,Barretos,Barretos,Alta Mogiana,Baixo Pardo/Grande
3505609,Barrinha,Ribeirão Preto,Ribeirão Preto,Centro Leste,Mogi Guaçú
3505708,Barueri,São Paulo,São Paulo,Sedes,Alto Tietê
3505807,Bastos,Tupã,Marília,Alta Paulista,Peixe
3505906,Batatais,Franca ,Franca,Nordeste Paulista,Sapucaí/Grande
3506003,Bauru,Bauru,Bauru,Centro Oeste,Tietê/Jacaré
3506102,Bebedouro,Barretos,Barretos,Alta Mogiana,Baixo Pardo/Grande
3506201,Bento de Abreu,Andradina,Araçatuba,Extemo Oeste,Baixo Tietê
3506300,Bernardino de Campos,Ourinhos ,Marília,Médio Paranapanema,Alto Paranapanema
3506359,Bertioga,São Paulo,Baixada Santista,Sedes,Baixada Santista
3506409,Bilac,Araçatuba,Araçatuba,Extemo Oeste,Baixo Tietê
3506508,Birigui,Araçatuba,Araçatuba,Extemo Oeste,Baixo Tietê
3506607,Biritiba-Mirim,Mogi das Cruzes,São Paulo,Sedes,Alto Tietê
3506706,Boa Esperança do Sul,Araraquara,Central,Centro Leste,Tietê/Jacaré
3506805,Bocaina,Jaú,Bauru,Centro Oeste,Tietê/Jacaré
3506904,Bofete,Botucatu,Sorocaba,Centro Sul,Tietê/Sorocaba
3507001,Boituva,Sorocaba,Sorocaba,Centro Sul,Tietê/Sorocaba
3507100,Bom Jesus dos Perdões,Bragança Paulista,Campinas,Leste Paulista,Piracicaba/Capivari
3507159,Bom Sucesso de Itararé,Itapeva ,Itapeva,Sudoeste Paulista,Alto Paranapanema
3507209,Borá,Assis,Marília,Médio Paranapanema,Peixe
3507308,Boracéia,Jaú,Bauru,Centro Oeste,Tietê/Jacaré
3507407,Borborema,Jaboticabal,Central,Centro Norte,Tietê/Batalha
3507456,Borebi,Bauru,Bauru,Centro Oeste,Tietê/Jacaré
3507506,Botucatu,Botucatu,Sorocaba,Centro Sul,Tietê/Sorocaba
3507605,Bragança Paulista,Bragança Paulista,Campinas,Leste Paulista,Piracicaba/Capivari
3507704,Braúna,Araçatuba,Araçatuba,Extemo Oeste,Baixo Tietê
3507753,Brejo Alegre,Araçatuba,Araçatuba,Extemo Oeste,Baixo Tietê
3507803,Brodowski,Ribeirão Preto,Ribeirão Preto,Centro Leste,Pardo
3507902,Brotas,Jaú,Campinas,Centro Oeste,Tietê/Jacaré
3508009,Buri,Itapeva ,Itapeva,Sudoeste Paulista,Alto Paranapanema
3508108,Buritama,General Salgado,Araçatuba,Noroeste Paulista,Baixo Tietê
3508207,Buritizal,Orlândia,Franca,Alta Mogiana,Sapucaí/Grande
3508306,Cabrália Paulista,Bauru,Bauru,Centro Oeste,Médio Paranapanema
3508405,Cabreúva,Sorocaba,Campinas,Sedes,Tietê/Sorocaba
3508504,Caçapava,Pindamonhangaba ,São José dos Campos ,Vale do Paraiba,Paraíba do Sul
3508603,Cachoeira Paulista,Guaratinguetá,São José dos Campos ,Vale do Paraiba,Paraíba do Sul
3508702,Caconde,São João da Boa Vista,Campinas,Nordeste Paulista,Pardo
3508801,Cafelândia,Lins,Bauru,Centro Oeste,Tietê/Batalha
3508900,Caiabu,Presidente Prudente ,Presidente Prudente,Alta Sorocabana,Peixe
3509007,Caieiras,São Paulo,São Paulo,Sedes,Alto Tietê
3509106,Caiuá,Presidente Venceslau,Presidente Prudente,Alta Sorocabana,Pontal do Paranapanema
3509205,Cajamar,São Paulo,São Paulo,Sedes,Alto Tietê
3509254,Cajati,Registro,Registro,Vale do Ribeira,Ribeira de Iguape/Litoral Sul
3509304,Cajobi,Barretos,Barretos,Alta Mogiana,Turvo/Grande
3509403,Cajuru,Ribeirão Preto,Ribeirão Preto,Nordeste Paulista,Pardo
