NOME_DIST,SIGLA_DIST,COD_DIST
AGUA RASA,ARA,1
ALTO DE PINHEIROS,API,2
ANHANGUERA,ANH,3
ARICANDUVA,ARI,4
ARTUR ALVIM,AAL,5
BARRA FUNDA,BFU,6
BELA VISTA,BVI,7
BELEM,BEL,8
BOM RETIRO,BRE,9
BRAS,BRS,10
BRASILANDIA,BRL,11
BUTANTA,BUT,12
CACHOEIRINHA,CAC,13
CAMBUCI,CMB,14
CAMPO BELO,CBE,15
CAMPO GRANDE,CGR,16
CAMPO LIMPO,CLM,17
CANGAIBA,CNG,18
CAPAO REDONDO,CRE,19
CARRAO,CAR,20
CASA VERDE,CVE,21
CID ADEMAR,CAD,22
CID DUTRA,CDU,23
CID LIDER,CLD,24
CID TIRADENTES,CTI,25
CONSOLACAO,CON,26
CURSINO,CUR,27
ERMELINO MATARAZZO,ERM,28
FREGUESIA DO O,FRE,29
GRAJAU,GRA,30
GUAIANASES,GUA,31
IGUATEMI,IGU,33
IPIRANGA,IPI,34
ITAIM BIBI,IBI,35
ITAIM PAULISTA,IPA,36
ITAQUERA,ITQ,37
JABAQUARA,JAB,38
JACANA,JAC,39
JAGUARA,JAG,40
JAGUARE,JRE,41
JARAGUA,JAR,42
JD ANGELA,JDA,43
JD HELENA,JDH,44
JD PAULISTA,JDP,45
JD SAO LUIS,JDS,46
JOSE BONIFACIO,JBO,47
LAJEADO,LAJ,96
LAPA,LAP,48
LIBERDADE,LIB,49
LIMAO,LIM,50
MANDAQUI,MAN,51
MARSILAC,MAR,52
MOEMA,MOE,32
MOOCA,MOO,53
MORUMBI,MOR,54
PARELHEIROS,PLH,55
PARI,PRI,56
PARQUE DO CARMO,PQC,57
PEDREIRA,PDR,58
PENHA,PEN,59
PERDIZES,PRD,60
PERUS,PRS,61
PINHEIROS,PIN,62
PIRITUBA,PIR,63
PONTE RASA,PRA,64
RAPOSO TAVARES,RTA,65
REPUBLICA,REP,66
RIO PEQUENO,RPE,67
SACOMA,SAC,68
SANTA CECILIA,SCE,69
SANTANA,STN,70
SANTO AMARO,SAM,71
SAO DOMINGOS,SDO,95
SAO LUCAS,SLU,72
SAO MATEUS,SMT,73
SAO MIGUEL,SMI,74
SAO RAFAEL,SRA,75
SAPOPEMBA,SAP,76
SAUDE,SAU,77
SE,SEE,78
SOCORRO,SOC,79
TATUAPE,TAT,80
TREMEMBE,TRE,81
TUCURUVI,TUC,82
VILA ANDRADE,VAN,83
VILA CURUCA,VCR,84
VILA FORMOSA,VFO,85
VILA GUILHERME,VGL,86
VILA JACUI,VJA,87
VILA LEOPOLDINA,VLE,88
VILA MARIA,VMR,89
VILA MARIANA,VMN,90
VILA MATILDE,VMT,91
VILA MEDEIROS,VMD,92
VILA PRUDENTE,VPR,93
VILA SONIA,VSO,94
